urun_adi,ay_key,ort_fiyat,en_dusuk,en_yuksek,ithal_mi,hassasiyet_katsayisi,mevsim_faktoru,ay_start,yil,ay,ceyrek,ay_sin,ay_cos,fiyat_spread,urun_kod,fiyat_lag1,fiyat_lag2,fiyat_lag3,fiyat_lag6,fiyat_lag12,roll3_ort,roll3_std,roll6_ort,roll6_std,momentum_pct,fiyat_diff_1,fiyat_diff_2,diff_lag1,diff_lag2,diff_roll3_ort,diff_roll3_std,son_yon,son3_yon_toplam,volatilite_3,hedef_abs,hedef_aylik,konya_ort_sicaklik,konya_toplam_yagis,konya_nem,antalya_ort_sicaklik,dolar_kuru,mazot_fiyati,aylik_tufe,lojistik
üzüm (muhteli̇f),2026-01,67.5,45.0,90.0,0,1.4,0,2026-01-01,2026,1,1,0.49999999999999994,0.8660254037844387,45.0,190,65.0,55.0,55.0,75.0,60.55555555555556,58.333333333333336,5.773502691896256,60.416666666666664,8.126602406089894,0.03846153846153855,2.5,12.5,10.0,0.0,3.3333333333333335,5.77350269189631,1.0,1.0,0.09897433186107868,70.9375,3.4375,2.3,1.9709677419354839,74.6774193548387,9.845161290322581,40.59645161290322,75.0,3.0,3.044733870967742
üzüm (muhteli̇f),2026-02,70.9375,49.375,92.5,0,1.4,0,2026-02-01,2026,2,1,0.8660254037844386,0.5000000000000001,43.125,190,67.5,65.0,55.0,57.5,65.0,62.5,6.6143782776614755,59.166666666666664,5.62731433871132,0.05092592592592582,3.4375,5.9375,2.5,10.0,4.166666666666667,5.204164998665391,1.0,2.0,0.1058300524425836,125.0,54.0625,5.521428571428571,2.585714285714286,73.39285714285714,12.37142857142857,41.13071428571429,76.0,2.5,3.125934285714286
üzüm (muhteli̇f),2026-03,125.0,83.33333333333333,166.66666666666666,0,1.4,0,2026-03-01,2026,3,1,1.0,6.123233995736766e-17,83.33333333333333,190,70.9375,67.5,65.0,55.0,65.0,67.8125,2.981060004427953,61.40625,7.2665490003852184,0.7621145374449338,54.0625,57.5,3.4375,2.5,5.3125,4.086467759569459,1.0,3.0,0.04396033186253202,150.0,25.0,6.148387096774194,2.0064516129032257,61.12903225806452,12.983870967741936,41.29483870967742,77.0,2.5,3.1797025806451615
üzüm (siyah),2022-08,10.5625,6.75,14.375,0,1.4,1,2022-08-01,2022,8,3,-0.8660254037844385,-0.5000000000000004,7.625,191,12.375,,,,,,,,,-0.14646464646464652,-1.8125,,,,,,-1.0,0.0,,11.1875,0.625,26.358064516129033,0.0,35.70967741935484,28.032258064516128,17.996129032258064,30.0,1.46,0.5398838709677419
üzüm (siyah),2022-09,11.1875,7.625,14.75,0,1.4,1,2022-09-01,2022,9,3,-1.0,-1.8369701987210297e-16,7.125,191,10.5625,12.375,,,,11.46875,1.2816310409006173,11.46875,1.2816310409006173,0.059171597633136175,0.625,-1.1875,-1.8125,,,,1.0,-1.0,0.11174984552811922,11.375,0.1875,20.826666666666664,0.05,38.1,25.726666666666667,18.282666666666668,29.0,3.08,0.5301973333333334
üzüm (siyah),2022-10,11.375,8.0,14.75,0,1.4,1,2022-10-01,2022,10,4,-0.8660254037844386,0.5000000000000001,6.75,191,11.1875,10.5625,12.375,,,11.375,0.9206824914160147,11.375,0.9206824914160147,0.016759776536312776,0.1875,0.8125,0.625,-1.8125,-0.59375,1.7235727791422095,1.0,0.0,0.0809391201244848,12.5625,1.1875,13.538709677419355,0.5419354838709678,58.645161290322584,21.335483870967742,18.61258064516129,28.5,3.54,0.5304585483870968
üzüm (siyah),2022-11,12.5625,9.25,15.875,0,1.4,0,2022-11-01,2022,11,4,-0.5000000000000004,0.8660254037844384,6.625,191,11.375,11.1875,10.5625,,,11.041666666666666,0.425428705347128,11.375,0.7517341063611964,0.10439560439560447,1.1875,1.375,0.1875,0.625,-0.3333333333333333,1.2995391811458912,1.0,1.0,0.038529392182381404,16.72222222222222,4.159722222222221,9.066666666666666,0.37,60.766666666666666,16.01,18.642999999999997,30.0,2.88,0.55929
üzüm (siyah),2022-12,16.72222222222222,12.11111111111111,21.333333333333332,0,1.4,0,2022-12-01,2022,12,4,-2.4492935982947064e-16,1.0,9.222222222222221,191,12.5625,11.375,11.1875,,,11.708333333333334,0.7456470903405533,11.6125,0.840154375695324,0.3311221669430624,4.159722222222221,5.347222222222221,1.1875,0.1875,0.6666666666666666,0.5013003923131649,1.0,3.0,0.06368516074083018,22.5,5.777777777777779,5.041935483870968,0.6096774193548387,74.06451612903226,12.858064516129033,18.69161290322581,31.0,1.18,0.5794400000000001
üzüm (siyah),2023-01,22.5,15.0,30.0,0,1.4,0,2023-01-01,2023,1,1,0.49999999999999994,0.8660254037844387,15.0,191,16.72222222222222,12.5625,11.375,12.375,,13.55324074074074,2.807912353507392,12.464120370370372,2.217257547372113,0.345514950166113,5.777777777777779,9.9375,4.159722222222221,1.1875,1.8449074074074072,2.0661015754712078,1.0,3.0,0.2071764537515275,23.5,1.0,2.6225806451612903,0.35161290322580646,64.70967741935483,10.55483870967742,18.826451612903227,28.0,6.65,0.5271406451612904
üzüm (siyah),2023-02,23.5,16.25,30.75,0,1.4,0,2023-02-01,2023,2,1,0.8660254037844386,0.5000000000000001,14.5,191,22.5,16.72222222222222,12.5625,10.5625,,17.261574074074073,4.990656457578704,14.151620370370372,4.6520136533955485,0.04444444444444451,1.0,6.777777777777779,5.777777777777779,4.159722222222221,3.7083333333333335,2.3281916729619536,1.0,3.0,0.2891194300219928,26.5,3.0,-0.9607142857142856,1.0107142857142857,65.60714285714286,8.717857142857143,18.93035714285714,29.0,3.15,0.5489803571428571
üzüm (siyah),2023-03,26.5,20.0,33.0,0,1.4,0,2023-03-01,2023,3,1,1.0,6.123233995736766e-17,13.0,191,23.5,22.5,16.72222222222222,11.1875,,20.90740740740741,3.658801890745138,16.30787037037037,5.56453209980066,0.12765957446808507,3.0,4.0,1.0,5.777777777777779,3.6458333333333335,2.4299900135698875,1.0,3.0,0.17500026758214124,41.666666666666664,15.166666666666664,8.016129032258064,2.2935483870967746,62.12903225806452,13.538709677419355,18.961290322580645,29.0,2.29,0.5498774193548387
üzüm (siyah),2023-06,41.666666666666664,33.333333333333336,50.0,0,1.4,0,2023-06-01,2023,6,2,1.2246467991473532e-16,-1.0,16.666666666666664,191,26.5,23.5,22.5,11.375,,24.166666666666668,2.0816659994661455,18.859953703703706,6.2193669302317325,0.5723270440251571,15.166666666666664,18.166666666666664,3.0,1.0,3.2592592592592595,2.399416938777114,1.0,3.0,0.08613790342618532,18.944444444444443,-22.72222222222222,19.34,1.6933333333333336,59.666666666666664,23.903333333333332,23.41433333333333,32.0,3.92,0.7492586666666666
üzüm (siyah),2023-07,18.944444444444443,14.0,23.88888888888889,0,1.4,0,2023-07-01,2023,7,3,-0.4999999999999997,-0.8660254037844388,9.88888888888889,191,41.666666666666664,26.5,23.5,12.5625,,30.555555555555554,9.738716167575307,23.908564814814813,10.045829028858572,-0.5453333333333333,-22.72222222222222,-7.555555555555557,15.166666666666664,3.0,6.388888888888888,7.667270507621145,-1.0,3.0,0.3187216200297373,19.833333333333332,0.8888888888888893,24.980645161290322,0.054838709677419356,33.61290322580645,31.116129032258065,26.796129032258065,35.0,9.49,0.9378645161290323
üzüm (siyah),2023-08,19.833333333333332,13.0,26.666666666666668,0,1.4,1,2023-08-01,2023,8,3,-0.8660254037844385,-0.5000000000000004,13.666666666666668,191,18.944444444444443,41.666666666666664,26.5,16.72222222222222,,29.037037037037038,11.571614553487583,24.972222222222218,8.873719695514833,0.04692082111436946,0.8888888888888893,-21.833333333333332,-22.72222222222222,15.166666666666664,-1.518518518518519,19.344372114656192,1.0,1.0,0.3985122358981693,22.4375,2.604166666666668,28.154838709677417,0.0032258064516129032,27.483870967741936,28.635483870967743,27.037419354838708,38.0,9.09,1.0274219354838707
üzüm (siyah),2023-09,22.4375,15.5,29.375,0,1.4,1,2023-09-01,2023,9,3,-1.0,-1.8369701987210297e-16,13.875,191,19.833333333333332,18.944444444444443,41.666666666666664,22.5,12.375,26.814814814814813,12.869757512720044,25.490740740740737,8.371941429094033,0.13130252100840334,2.604166666666668,3.493055555555557,0.8888888888888893,-22.72222222222222,-2.2222222222222228,19.135078640232997,1.0,1.0,0.47994952050199063,27.5,5.0625,20.62,0.52,39.46666666666667,26.896666666666665,27.046,40.0,4.75,1.08184
üzüm (siyah),2023-10,27.5,20.0,35.0,0,1.4,1,2023-10-01,2023,10,4,-0.8660254037844386,0.5000000000000001,15.0,191,22.4375,19.833333333333332,18.944444444444443,23.5,10.5625,20.40509259259259,1.8153624339125445,25.480324074074073,8.376444523326482,0.22562674094707513,5.0625,7.666666666666668,2.604166666666668,0.8888888888888893,-6.409722222222221,14.15304866985324,1.0,1.0,0.08896614537155068,35.55555555555556,8.055555555555557,15.429032258064517,0.43548387096774194,52.29032258064516,21.774193548387096,27.45387096774194,42.0,3.43,1.1530625806451615
üzüm (siyah),2023-11,35.55555555555556,27.22222222222222,43.888888888888886,0,1.4,0,2023-11-01,2023,11,4,-0.5000000000000004,0.8660254037844384,16.666666666666664,191,27.5,22.4375,19.833333333333332,26.5,11.1875,23.256944444444443,3.898469102428875,26.146990740740737,8.346434628062115,0.29292929292929304,8.055555555555557,13.118055555555557,5.0625,2.604166666666668,2.8518518518518525,2.09780084610472,1.0,3.0,0.1676260229172165,50.0,14.444444444444443,10.51,2.0633333333333335,66.7,16.96,28.503666666666668,43.0,3.28,1.2256576666666668
üzüm (si̇yah),2024-02,72.5,60.0,85.0,0,1.4,0,2024-02-01,2024,2,1,0.8660254037844386,0.5000000000000001,25.0,192,54.166666666666664,,,,,,,,,0.3384615384615386,18.333333333333336,,,,,,1.0,0.0,,147.5,75.0,5.375862068965517,0.3310344827586207,68.27586206896552,11.710344827586209,30.57758620689655,48.5,4.5,1.4830129310344828
