hafta_baslangic,urun_adi,urun_kod,fiyat,lag_1h,lag_4h,lag_8h,lag_12h,lag_24h,roll4_ort,roll8_ort,roll12_ort,roll4_std,momentum_pct,trend_4_12,volatilite,hedef_haftalik,konya_sic,konya_yagis,antalya_don_lag1,sic_fark,dolar_kuru,yil,hafta_no,ay,hafta_sin,hafta_cos,lojistik
2024-05-07,salatalik (muhtelif),112,10.5,10.0,9.5,20.0,25.0,8.5,10.125,13.65625,16.520833333333332,0.9464847243000474,5.263157894736836,-6.395833333333332,0.9464847243000474,10.5,14.228571428571428,14.4,0.0,-5.1,31.7923120553535,2024,19,5,0.7485107481711013,-0.663122658240795,73.12231772731305
2024-05-14,salatalik (muhtelif),112,10.5,10.5,11.5,20.0,25.0,8.5,10.375,12.46875,15.3125,0.8539125638299683,5.000000000000004,-4.9375,0.8539125638299683,10.5,16.52857142857143,3.3000000000000003,0.0,-4.542857142857143,31.72116188767509,2024,20,5,0.6631226582407952,-0.7485107481711012,72.9586723416527
2024-05-21,salatalik (muhtelif),112,10.5,10.5,9.5,16.25,20.25,8.5,10.125,11.28125,14.104166666666666,0.47871355387817216,0.0,-3.979166666666666,0.47871355387817216,10.75,18.17142857142857,3.9,0.0,-5.271428571428572,32.02985395099308,2024,21,5,0.5680647467311558,-0.8229838658936564,73.66866408728407
2024-05-28,salatalik (muhtelif),112,10.75,10.5,10.0,12.5,18.75,8.5,10.375,10.5625,13.291666666666666,0.2500000000000056,0.0,-2.916666666666666,0.2500000000000056,11.0,18.62857142857143,12.2,0.0,-4.500000000000001,32.09305039466277,2024,22,5,0.46472317204376906,-0.8854560256532096,73.81401590772435
2024-06-04,salatalik (muhtelif),112,11.0,10.75,10.5,9.5,20.0,8.5,10.5625,10.34375,12.625,0.12500000000001124,2.3809523809523725,-2.0625,0.12500000000001124,18.5,23.714285714285715,4.1,0.0,-7.628571428571429,32.16814598154291,2024,23,6,0.35460488704253584,-0.9350162426854147,73.98673575754867
2024-06-11,salatalik (muhtelif),112,18.5,11.0,10.5,11.5,20.0,8.5,10.6875,10.53125,11.875,0.23935677693909024,2.3255813953488413,-1.1875,0.23935677693909024,18.5,26.185714285714287,1.5,0.0,-3.4857142857142853,32.38520546213972,2024,24,6,0.23931566428755768,-0.970941817426052,74.48597256292136
2024-06-18,salatalik (muhtelif),112,18.5,18.5,10.5,9.5,16.25,21.333333333333332,12.6875,11.40625,11.75,3.8803726195646044,68.18181818181819,0.9375,3.8803726195646044,22.0,26.985714285714288,0.0,0.0,-1.8571428571428572,32.4089199934474,2024,25,6,0.12053668025532308,-0.992708874098054,74.54051598492902
2024-06-25,salatalik (muhtelif),112,22.0,18.5,10.75,10.0,12.5,20.0,14.6875,12.53125,11.9375,4.403478738452135,0.0,2.75,4.403478738452135,20.0,25.657142857142855,0.7,0.0,-4.685714285714288,32.70404261713403,2024,26,6,-3.216245299353273e-16,-1.0,75.21929801940826
2024-07-02,salatalik (muhtelif),112,20.0,22.0,11.0,10.5,9.5,22.0,17.5,14.03125,12.729166666666666,4.636809247747852,18.918918918918926,4.770833333333334,4.636809247747852,20.0,25.214285714285715,0.2,0.0,-5.1571428571428575,32.53349220048651,2024,27,7,-0.12053668025532283,-0.992708874098054,74.82703206111897
2024-07-09,salatalik (muhtelif),112,20.0,20.0,18.5,10.5,11.5,26.5,19.75,15.21875,13.604166666666666,1.6583123951776988,-9.090909090909093,6.145833333333334,1.6583123951776988,16.5,25.52857142857143,3.8000000000000003,0.0,-5.485714285714286,32.710451504851754,2024,28,7,-0.23931566428755743,-0.9709418174260521,75.23403846115903
2024-07-16,salatalik (muhtelif),112,16.5,20.0,18.5,10.5,9.5,35.0,20.125,16.40625,14.3125,1.4361406616345058,0.0,5.8125,1.4361406616345058,13.5,27.285714285714285,2.6,0.0,-5.199999999999998,33.02078111930406,2024,29,7,-0.3546048870425356,-0.9350162426854148,75.94779657439933
2024-07-23,salatalik (muhtelif),112,13.5,16.5,22.0,10.75,10.0,31.25,19.625,17.15625,14.895833333333334,2.286737122335373,-17.500000000000004,4.729166666666666,2.286737122335373,15.75,24.928571428571427,2.9,0.0,-6.471428571428571,33.1060085316813,2024,30,7,-0.46472317204376806,-0.8854560256532101,76.14381962286697
2024-07-30,salatalik (muhtelif),112,15.75,13.5,20.0,11.0,10.5,25.0,17.5,17.5,15.1875,3.135814620371129,-18.181818181818176,2.3125,3.135814620371129,19.0,25.82857142857143,0.0,0.0,-5.014285714285713,32.85431275247888,2024,31,7,-0.5680647467311556,-0.8229838658936566,75.56491933070143
2024-08-06,salatalik (muhtelif),112,19.0,15.75,20.0,18.5,10.5,25.0,16.4375,18.09375,15.625,2.695482331605977,16.666666666666675,0.8125,2.695482331605977,21.5,26.514285714285712,0.3,0.0,-3.5428571428571423,33.004076631434465,2024,32,8,-0.663122658240795,-0.7485107481711013,75.90937625229927
2024-08-13,salatalik (muhtelif),112,21.5,19.0,16.5,18.5,10.5,20.25,16.1875,18.15625,16.333333333333332,2.267294643402131,20.63492063492063,-0.14583333333333215,2.267294643402131,24.0,24.728571428571428,0.0,0.0,-6.7,33.20848286128959,2024,33,8,-0.7485107481711011,-0.6631226582407952,76.37951058096606
2024-08-20,salatalik (muhtelif),112,24.0,21.5,13.5,22.0,10.75,18.75,17.4375,18.53125,17.25,3.525945499673338,13.157894736842103,0.1875,3.525945499673338,22.5,25.414285714285715,1.7000000000000002,0.0,-3.9428571428571426,33.37332096773608,2024,34,8,-0.8229838658936564,-0.5680647467311559,76.75863822579298
